// Cursor/The Office Drama/Vocabulary
厉害	lìhai	Awesome; severe (Context: 既然你是最厉害的...)
经历	jīnglì	To experience / past experiences (Note: Do not confuse 历 with 厉害的厉)
简历	jiǎnlì	Resume / CV (Note: Uses 历 for history/experience)
派给	pàigěi	To assign to / dispatch to (Context: 老板派给我一个任务。)
关键	guānjiàn	Crucial; key; pivotal (HSK 4)
既然	jìrán	Since; as; now that (Grammar: Usually pairs with 就)
即使	jíshǐ	Even if; even though (Grammar: Usually pairs with 也)
弄坏	nònghuài	To break; to ruin; to spoil

// Cursor/The Office Drama/Master Sentences
昨天在公司，老板派给我一个非常关键的任务。	Zuótiān zài gōngsī, lǎobǎn pàigěi wǒ yí gè fēicháng guānjiàn de rènwu.	Yesterday at the company, the boss gave me a very crucial task.
他对我说：“既然你是最厉害的，你今天必须把工作做好。”	Tā duì wǒ shuō: “Jìrán nǐ zuì lìhai de, nǐ jīntiān bìxū bǎ gōngzuò zuò hǎo.”	He said to me: "Since you are the most awesome, you must get the work done well today."
即使很累，我也工作到了晚上10点。	Jíshǐ hěn lèi, wǒ yě gōngzuò dào le wǎnshang shí diǎn.	Even if I was very tired, I still worked until 10 PM.
终于，我把所有的工作都做完了。	Zhōngyú, wǒ bǎ suǒyǒu de gōngzuò dōu zuò wán le.	Finally, I finished all my work.
今天早上，我的电脑竟然被我的同事弄坏了。	Jīntiān zǎoshang, wǒ de diànnǎo jìngrán bèi wǒ de tóngshì nòng huài le.	Unexpectedly, this morning, my computer was broken by my colleague.

// Cursor/The Travel Snafu/Vocabulary
机票	jīpiào	Plane ticket
护照	hùzhào	Passport
参加	cānjiā	To attend; to participate in
会议	huìyì	Meeting; conference
不管	bùguǎn	No matter (Grammar: pairs with 都/也 + a question word, e.g. 多, 什么)
弄丢	nòngdiū	To lose (something); to misplace
忘在	wàngzài	To leave behind at (a place) (Pattern: 把 + Object + 忘在 + Place + 了)
计划	jìhuà	Plan
毁	huǐ	To ruin; to destroy
错误	cuòwù	Mistake; error

// Cursor/The Travel Snafu/Master Sentences
